Study_ID,EffectSize_ID,Article ID,Study Year_AVG,Study Year_AVG2014,TypeofPublication_Journal,TypeofPublication_WorkingPaper,Country_NorthAmerica,Country_EuropeCentralAsia,Country_LatinAmerica,CountryIncome_High,CountryIncome_UpperMiddle,Maternal Age,Maternal Age_AVG32,MaritalStatus_TwoParant,MaritalStatus_Single,IMMIGRANT (ONLY ONE STUDY REPORTS ON MIXED IMMIGRANT POPULATION),Urban Residential Area_ONLY ONE STUDY REPORTS ON MAJORITY RURAL POPULATION,MaternalEducation_LessThanBachelors,MaternalEducation_MixedBachelors,MaternalEducation_Years,MaternalEducation_YearsAVG10,Number of Other Children in the Household Age 0 to <,Number of Other Children in the Household Age 0 to <6_AVG1.5,Number of Other Children in the Household Age 0 to <19,Number of Other Children in the Household Age 0 to <19_AVG0.6,FemaleLFPRate_REVISED,FemaleLFPRate_<60,FemaleLFPRate_60-<65,FemaleLFPRate_65-<70,FemaleLFPRate_70+,PartTimeRate_REVISED,PartTimeRate_AV21,ISYoungestChildHousehold,NotYoungestChildHousehold,DeliveryLevel_NationalFederal,DeliveryLevel_StateProvincia,ProgramDeliveryPublic,ProgramDeliveryMixed,TypeECEProgram_ChildCare,TypeECEProgram_SchoolBased,DailyOperatingHours_FullDay,DailyOperatingHours_HalfDay,ECEGuaranteedYearRound ,ECENOTGuaranteedYearRound ,CostofECE_Free,CostofECE_SlidingScale,AccesstoECE_LegalRight,AccesstoECE_Compulsory,YearofPolicyImplementation,YearofPolicyImplementation_AVG1999,ChildAge_Youngerthan3,ChildAge_3andOlder,StudyDesign_RD,StudyDesign_IV,CrowdingOutEffect,NOCrowdingOutEffect,RobustnessAnalysis ,NORobustnessAnalysis ,CensoredOutcomeMeasure,NoCensoredOutcomeMeasure,HoursWeekly,UsualHoursWeekly,N  ,2SLS,SE 
1,1,Bauernschuster_ 2015,2015,1,1,0,0,1,0,1,0,33,1,,,,,,,11.8,2,,,0.9,3,63.7,0,1,0,0,34,13,1,0,1,0,1,0,0,1,0,1,,,0,1,1,0,1996,-3,0,1,0,1,0,1,1,0,,,1,0,1903,14.32,6.081
2,2,Berlinski_2011,2011,-3,1,0,0,0,1,0,1,33,1,,,,,,,9.4,-1,,,,,,,,,,,,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1993,-6,0,1,1,0,1,0,1,0,,,1,0,"10,911",7.779,4.556
2,3,Berlinski_2011,2011,-3,1,0,0,0,1,0,1,33,1,,,,,,,9.4,-1,,,,,,,,,,,,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1993,-6,0,1,1,0,1,0,1,0,,,1,0,"11,930",1.67,3.114
3,4,Fitzpatrick_2010,2010,-4,1,0,1,0,0,1,0,32,0,1,0,,,0,1,,,0.3,-12,0.1,-3,70.7,0,0,0,1,17,-4,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1995,-4,0,1,1,0,,,1,0,,,1,0,"205,826",-0.056,0.32
4,5,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,32,0,0,1,,,1,0,,,,,0.1,-3,70.7,0,0,0,1,17,-4,1,0,0,1,1,0,0,1,,,0,1,1,0,,,,,0,1,1,0,,,1,0,,,0,1,"43,199",3.01,1.64
4,6,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,28,-4,0,1,,,1,0,,,2.2,7,0.1,-3,70.7,0,0,0,1,17,-4,0,1,0,1,1,0,0,1,,,0,1,1,0,,,,,0,1,1,0,,,1,0,,,0,1,"23,066",-2.14,2.65
4,7,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,35,3,1,0,,,0,1,,,,,0.1,-3,70.7,0,0,0,1,17,-4,1,0,0,1,1,0,0,1,,,0,1,1,0,,,,,0,1,1,0,,,1,0,,,0,1,"148,264",0.02,0.91
4,8,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,32,0,1,0,,,0,1,,,2.2,7,0.1,-3,70.7,0,0,0,1,17,-4,0,1,0,1,1,0,0,1,,,0,1,1,0,,,,,0,1,1,0,,,1,0,,,0,1,"123,354",2.22,1.03
5,9,Ryu_2020,2020,6,1,0,0,0,1,1,0,32,0,,,,,,,10.2,0,,,1.4,8,,,,,,,,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,2009,10,0,1,1,0,1,0,1,0,,,1,0,"9,556",22.716,11.365
5,10,Ryu_2020,2020,6,1,0,0,0,1,1,0,28,-4,,,,,,,9.5,0,1.1,-4,1.3,7,,,,,,,,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,2009,10,0,1,1,0,1,0,1,0,,,1,0,"7,609",-13.731,20.729
6,11,Schmitz_2020,2020,6,1,0,0,1,0,1,0,33,1,1,0,,,,,11.8,2,,,1.2,6,61.8,0,1,0,0,30,9,1,0,1,0,0,1,1,0,0,1,,,0,1,1,0,1996,-3,0,1,1,0,,,1,0,,,1,0,7785,7.04,2.16